LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
0.66,43.00,0.31,10.00,1.00,32.00,0.90,256,256,256,256,5,32,32,1,4,28933,365767,4181,987463,443936,652127,447737,2930144
0.66,43.00,0.31,10.00,1.00,32.00,0.95,256,256,256,256,5,32,32,1,4,27252,366418,4001,987172,449897,643376,455488,2933604
0.55,35.00,0.09,3.00,1.00,32.00,0.00,128,128,128,128,3,64,64,1,4,17162,96369,2180,493402,228152,302183,297341,1436789
0.55,35.00,0.09,3.00,1.00,32.00,0.10,128,128,128,128,3,64,64,1,4,14170,95362,1950,493201,221911,307164,297431,1431189
0.55,35.00,0.09,3.00,1.00,32.00,0.20,128,128,128,128,3,64,64,1,4,14572,95549,1951,499242,221492,273157,223665,1329628
0.55,35.00,0.09,3.00,1.00,32.00,0.30,128,128,128,128,3,64,64,1,4,14713,95300,1950,498771,221393,270018,224273,1326418
0.55,35.00,0.09,3.00,1.00,32.00,0.40,128,128,128,128,3,64,64,1,4,14511,95290,1930,493500,227194,278677,224306,1335408
0.55,35.00,0.09,3.00,1.00,32.00,0.50,128,128,128,128,3,64,64,1,4,15100,95410,1960,493921,222444,280499,227494,1336828
0.55,35.00,0.09,3.00,1.00,32.00,0.60,128,128,128,128,3,64,64,1,4,14493,95171,1931,493930,221613,286860,224341,1338339
0.55,35.00,0.09,3.00,1.00,32.00,0.70,128,128,128,128,3,64,64,1,4,14371,95369,1920,493062,222110,231987,181690,1240509
0.55,35.00,0.09,3.00,1.00,32.00,0.80,128,128,128,128,3,64,64,1,4,13935,94779,1920,507999,225704,233684,175389,1253410
0.55,35.00,0.09,3.00,1.00,32.00,0.85,128,128,128,128,3,64,64,1,4,13891,95439,1971,494151,243073,225787,175358,1249670
0.55,35.00,0.09,3.00,1.00,32.00,0.90,128,128,128,128,3,64,64,1,4,14063,95510,1890,494273,221505,228891,180137,1236269
0.55,35.00,0.09,3.00,1.00,32.00,0.95,128,128,128,128,3,64,64,1,4,14103,95680,1920,493353,221635,229101,179907,1235699
0.27,17.00,0.03,1.00,0.50,16.00,0.00,64,64,64,64,2,64,64,1,4,9611,27723,1020,258097,111333,117181,95070,620035
