LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
0.75,49.00,0.50,16.00,1.00,32.00,0.00,1024,1024,1024,1024,5,8,4,1,4,4652724,6931752,634862,147107389,65137012,764818151,101203233,1090485123
0.50,32.00,0.50,16.00,0.50,16.00,0.00,512,512,512,512,5,8,8,1,4,581806,1596763,71063,18399777,8144683,51513737,12655667,92963496
0.31,20.00,0.50,16.00,0.12,4.00,0.00,256,256,256,256,5,8,16,1,4,87868,385330,9860,2549384,1132073,4140710,1757735,10062960
0.27,17.00,0.50,16.00,0.03,1.00,0.00,128,128,128,128,5,8,32,1,4,19643,96890,1540,382960,169588,435835,266698,1373154
0.25,16.00,0.50,16.00,0.01,0.00,0.00,64,64,64,64,5,8,64,1,4,9040,25963,240,76668,28702,69668,44075,254356
