LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
0.75,49.00,0.50,16.00,1.00,32.00,0.00,1024,1024,1024,1024,5,8,4,4,4,2135797,10504788,230570,64903788,40583026,1437860097,24981463,1581199529
0.50,32.00,0.50,16.00,0.50,16.00,0.00,512,512,512,512,5,8,8,4,4,269980,2554548,17431,8121328,5080849,92723108,3124757,111892001
0.31,20.00,0.50,16.00,0.12,4.00,0.00,256,256,256,256,5,8,16,4,4,43854,634304,2461,1125626,708603,3933349,434744,6882941
0.27,17.00,0.50,16.00,0.03,1.00,0.00,128,128,128,128,5,8,32,4,4,11822,160326,380,169697,105031,363997,65476,876729
0.07,4.00,0.12,4.00,0.01,0.00,0.00,64,64,64,64,5,8,16,4,4,9820,47394,280,112662,70468,186708,22373,449705
