LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
1.00,65.00,1.00,32.00,1.00,32.00,0.00,1024,1024,1024,1024,4,8,8,4,4,174637,48637736,81160,18554849,5524984,32813395,19314523,125101284
1.00,65.00,1.00,32.00,1.00,32.00,0.10,1024,1024,1024,1024,4,8,8,4,4,130628,39129799,13953,14823109,4426704,26431666,16077317,101033176
1.00,65.00,1.00,32.00,1.00,32.00,0.20,1024,1024,1024,1024,4,8,8,4,4,130093,39142365,14111,14832646,4441364,26426912,16074338,101061829
1.00,65.00,1.00,32.00,1.00,32.00,0.30,1024,1024,1024,1024,4,8,8,4,4,98387,29359301,10620,11112180,3325627,20097366,12804622,76808103
1.00,65.00,1.00,32.00,1.00,32.00,0.40,1024,1024,1024,1024,4,8,8,4,4,98189,29360094,10721,11108382,3325241,20081029,12812315,76795971
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,4,4,99008,29365335,10591,11121650,3329773,19486210,10769888,74182455
1.00,65.00,1.00,32.00,1.00,32.00,0.60,1024,1024,1024,1024,4,8,8,4,4,68649,19571300,7102,7410449,2218265,13087893,7522476,49886134
1.00,65.00,1.00,32.00,1.00,32.00,0.70,1024,1024,1024,1024,4,8,8,4,4,68986,19566537,7131,7417637,2215838,13090419,7522107,49888655
1.00,65.00,1.00,32.00,1.00,32.00,0.80,1024,1024,1024,1024,4,8,8,4,4,40244,9734119,3650,3700903,1106848,6391645,3251085,24228494
1.00,65.00,1.00,32.00,1.00,32.00,0.90,1024,1024,1024,1024,4,8,8,4,4,39694,9795788,3720,3718419,1106321,6431766,3253209,24348917
1.00,65.00,1.00,32.00,1.00,32.00,0.00,512,512,512,512,8,16,16,4,4,38995,4877546,3760,3702568,1108301,4220655,2476326,16428151
1.00,65.00,1.00,32.00,1.00,32.00,0.10,512,512,512,512,8,16,16,4,4,25051,2455230,1991,1850619,555046,2621396,2126877,9636210
1.00,65.00,1.00,32.00,1.00,32.00,0.20,512,512,512,512,8,16,16,4,4,24985,2455951,1980,1850306,554597,2638010,2126603,9652432
1.00,65.00,1.00,32.00,1.00,32.00,0.30,512,512,512,512,8,16,16,4,4,23731,2452561,1911,1872449,555247,2332167,1621535,8859601
1.00,65.00,1.00,32.00,1.00,32.00,0.40,512,512,512,512,8,16,16,4,4,24793,2453091,1930,1864879,554428,2476560,1865879,9241560
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,4,4,24513,2457330,1880,1854188,553077,2332478,1624274,8847740
1.00,65.00,1.00,32.00,1.00,32.00,0.60,512,512,512,512,8,16,16,4,4,24541,2450650,1980,1855702,553017,2060078,1109072,8055040
1.00,65.00,1.00,32.00,1.00,32.00,0.70,512,512,512,512,8,16,16,4,4,23483,2459190,1880,1850207,553555,2038690,1108472,8035477
1.00,65.00,1.00,32.00,1.00,32.00,0.80,512,512,512,512,8,16,16,4,4,23524,2443390,2020,1864159,554938,1740405,620112,7248548
1.00,65.00,1.00,32.00,1.00,32.00,0.90,512,512,512,512,8,16,16,4,4,23893,2463832,1940,1849757,553755,1741848,619933,7254958
0.66,43.00,0.31,10.00,1.00,32.00,0.00,256,256,256,256,5,32,32,4,4,15862,629443,1010,925615,278998,765858,369967,2986753
0.66,43.00,0.31,10.00,1.00,32.00,0.10,256,256,256,256,5,32,32,4,4,15664,620893,1150,925841,276721,721094,308789,2870152
0.66,43.00,0.31,10.00,1.00,32.00,0.20,256,256,256,256,5,32,32,4,4,15632,620048,981,924119,276872,699580,308968,2846200
0.66,43.00,0.31,10.00,1.00,32.00,0.30,256,256,256,256,5,32,32,4,4,14801,619503,990,924754,277068,622543,244456,2704115
0.66,43.00,0.31,10.00,1.00,32.00,0.40,256,256,256,256,5,32,32,4,4,15391,619292,970,926205,277217,621484,246446,2707005
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,4,4,14272,618113,920,926694,275797,626455,242744,2704995
0.66,43.00,0.31,10.00,1.00,32.00,0.60,256,256,256,256,5,32,32,4,4,14871,620583,870,927935,276007,549237,174598,2564101
0.66,43.00,0.31,10.00,1.00,32.00,0.70,256,256,256,256,5,32,32,4,4,13521,621493,890,932205,277128,552136,174318,2571691
0.66,43.00,0.31,10.00,1.00,32.00,0.80,256,256,256,256,5,32,32,4,4,13292,615423,891,924984,278507,479909,113241,2426247
0.66,43.00,0.31,10.00,1.00,32.00,0.90,256,256,256,256,5,32,32,4,4,11822,618704,910,924482,277538,482070,113231,2428757
0.30,19.00,0.09,3.00,0.50,16.00,0.00,128,128,128,128,3,32,32,4,4,8470,160736,440,464028,137423,236095,75028,1082220
0.30,19.00,0.09,3.00,0.50,16.00,0.10,128,128,128,128,3,32,32,4,4,7691,163047,561,463085,137385,207981,56565,1036315
0.30,19.00,0.09,3.00,0.50,16.00,0.20,128,128,128,128,3,32,32,4,4,7550,162408,440,462247,144085,207631,56545,1040906
0.30,19.00,0.09,3.00,0.50,16.00,0.30,128,128,128,128,3,32,32,4,4,7331,162257,450,479859,138713,206852,56465,1051927
0.30,19.00,0.09,3.00,0.50,16.00,0.40,128,128,128,128,3,32,32,4,4,7582,163107,460,469327,138353,206812,56465,1042106
0.30,19.00,0.09,3.00,0.50,16.00,0.50,128,128,128,128,3,32,32,4,4,7460,162667,480,463118,143874,208092,56485,1042176
0.30,19.00,0.09,3.00,0.50,16.00,0.60,128,128,128,128,3,32,32,4,4,7452,163087,460,464266,145055,189929,44334,1014583
0.30,19.00,0.09,3.00,0.50,16.00,0.70,128,128,128,128,3,32,32,4,4,7431,162836,450,464287,137464,190259,47666,1010393
0.30,19.00,0.09,3.00,0.50,16.00,0.80,128,128,128,128,3,32,32,4,4,7280,160266,470,469059,137032,190881,44264,1009252
0.30,19.00,0.09,3.00,0.50,16.00,0.90,128,128,128,128,3,32,32,4,4,7011,162807,460,468426,138315,189929,44315,1011263
0.08,5.00,0.03,1.00,0.12,4.00,0.00,64,64,64,64,2,16,16,4,4,5721,47945,270,232263,68748,114541,22392,491880
0.08,5.00,0.03,1.00,0.12,4.00,0.10,64,64,64,64,2,16,16,4,4,5791,50625,240,232653,68078,114222,16200,487809
0.08,5.00,0.03,1.00,0.12,4.00,0.20,64,64,64,64,2,16,16,4,4,5522,50425,240,232634,68827,113921,22472,494041
0.08,5.00,0.03,1.00,0.12,4.00,0.30,64,64,64,64,2,16,16,4,4,5701,50415,240,447886,69197,105200,16342,694981
0.08,5.00,0.03,1.00,0.12,4.00,0.40,64,64,64,64,2,16,16,4,4,5792,50205,240,231663,69057,108572,16280,481809
0.08,5.00,0.03,1.00,0.12,4.00,0.50,64,64,64,64,2,16,16,4,4,5731,50445,240,232283,68967,115812,16362,489840
0.08,5.00,0.03,1.00,0.12,4.00,0.60,64,64,64,64,2,16,16,4,4,5670,50345,220,231764,69427,107451,16472,481349
0.08,5.00,0.03,1.00,0.12,4.00,0.70,64,64,64,64,2,16,16,4,4,5431,50615,230,236905,69516,107691,16332,486720
0.08,5.00,0.03,1.00,0.12,4.00,0.80,64,64,64,64,2,16,16,4,4,5530,47955,220,231814,69047,108061,16392,479019
0.08,5.00,0.03,1.00,0.12,4.00,0.90,64,64,64,64,2,16,16,4,4,5571,50445,230,231413,68817,108062,16231,480769
0.02,1.00,0.01,0.00,0.03,1.00,0.00,32,32,32,32,1,8,8,4,4,4430,33233,120,116222,34673,86419,7911,283008
0.02,1.00,0.01,0.00,0.03,1.00,0.10,32,32,32,32,1,8,8,4,4,4480,33313,110,116272,33963,87569,8061,283768
0.02,1.00,0.01,0.00,0.03,1.00,0.20,32,32,32,32,1,8,8,4,4,4390,34894,120,116342,34263,87569,7971,285549
0.02,1.00,0.01,0.00,0.03,1.00,0.30,32,32,32,32,1,8,8,4,4,4561,33223,110,116312,34733,88639,8071,285649
0.02,1.00,0.01,0.00,0.03,1.00,0.40,32,32,32,32,1,8,8,4,4,4570,33464,110,116272,34744,86369,8010,283539
0.02,1.00,0.01,0.00,0.03,1.00,0.50,32,32,32,32,1,8,8,4,4,4471,41534,110,116342,34703,89129,8121,294410
0.02,1.00,0.01,0.00,0.03,1.00,0.60,32,32,32,32,1,8,8,4,4,4630,33403,121,116351,34704,88039,7991,285239
0.02,1.00,0.01,0.00,0.03,1.00,0.70,32,32,32,32,1,8,8,4,4,4480,33384,120,116282,34374,87939,8090,284669
0.02,1.00,0.01,0.00,0.03,1.00,0.80,32,32,32,32,1,8,8,4,4,4611,37124,120,116311,34864,87909,8051,288990
0.02,1.00,0.01,0.00,0.03,1.00,0.90,32,32,32,32,1,8,8,4,4,4520,33254,110,116342,34364,87909,8050,284549
