LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
0.27,17.00,0.03,1.00,0.50,16.00,0.50,64,64,64,64,2,64,64,1,4,8453,28253,971,246614,116263,137773,87688,626015
0.27,17.00,0.03,1.00,0.50,16.00,0.50,64,64,64,64,2,64,64,1,4,8391,28023,980,247006,110743,137093,87518,619754
0.07,4.00,0.01,0.00,0.12,4.00,0.50,32,32,32,32,1,32,32,1,4,6001,11581,490,123502,56696,98040,31974,328284
0.07,4.00,0.01,0.00,0.12,4.00,0.50,32,32,32,32,1,32,32,1,4,5800,11501,500,123534,55395,97641,31973,326344
0.07,4.00,0.01,0.00,0.12,4.00,0.50,32,32,32,32,1,32,32,1,4,5860,11462,490,123264,55474,97891,31813,326254
0.07,4.00,0.01,0.00,0.12,4.00,0.50,32,32,32,32,1,32,32,1,4,5671,11552,500,123533,55484,97091,31833,325664
0.07,4.00,0.01,0.00,0.12,4.00,0.50,32,32,32,32,1,32,32,1,4,5790,11662,490,123703,55817,96579,31803,325844
0.07,4.00,0.01,0.00,0.12,4.00,0.50,32,32,32,32,1,32,32,1,4,5810,11441,480,123253,55967,97210,31903,326064
0.07,4.00,0.01,0.00,0.12,4.00,0.50,32,32,32,32,1,32,32,1,4,5941,11481,480,123513,55577,96649,31693,325334
0.07,4.00,0.01,0.00,0.12,4.00,0.50,32,32,32,32,1,32,32,1,4,6171,11521,500,123663,55484,96122,31733,325194
0.07,4.00,0.01,0.00,0.12,4.00,0.50,32,32,32,32,1,32,32,1,4,5851,11621,490,123352,55356,98120,31964,326754
