LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
0.55,35.00,0.09,3.00,1.00,32.00,0.95,128,128,128,128,3,64,64,1,4,13070,94850,1790,494291,222043,253977,174908,1254929
0.27,17.00,0.03,1.00,0.50,16.00,0.00,64,64,64,64,2,64,64,1,4,13240,29494,1720,499212,221724,262786,125763,1153939
0.27,17.00,0.03,1.00,0.50,16.00,0.10,64,64,64,64,2,64,64,1,4,12992,30043,1730,493851,222134,264556,126153,1151459
0.27,17.00,0.03,1.00,0.50,16.00,0.20,64,64,64,64,2,64,64,1,4,8370,28104,900,246585,110952,142825,63046,600782
0.27,17.00,0.03,1.00,0.50,16.00,0.30,64,64,64,64,2,64,64,1,4,8291,28213,880,246986,111752,140984,63147,600253
0.27,17.00,0.03,1.00,0.50,16.00,0.40,64,64,64,64,2,64,64,1,4,8331,28182,860,247065,110723,140634,63116,598911
0.27,17.00,0.03,1.00,0.50,16.00,0.50,64,64,64,64,2,64,64,1,4,8650,28143,912,246624,117721,142176,63317,607543
0.27,17.00,0.03,1.00,0.50,16.00,0.60,64,64,64,64,2,64,64,1,4,8350,28043,911,246526,111300,140635,63057,598822
0.27,17.00,0.03,1.00,0.50,16.00,0.70,64,64,64,64,2,64,64,1,4,8581,28023,920,253745,108622,141344,63238,604473
0.27,17.00,0.03,1.00,0.50,16.00,0.80,64,64,64,64,2,64,64,1,4,8361,27643,920,247026,110721,141125,63336,599132
0.27,17.00,0.03,1.00,0.50,16.00,0.85,64,64,64,64,2,64,64,1,4,8480,28333,880,247237,110730,148496,62717,606873
0.27,17.00,0.03,1.00,0.50,16.00,0.90,64,64,64,64,2,64,64,1,4,8181,28173,910,246766,111211,140835,63216,599292
0.27,17.00,0.03,1.00,0.50,16.00,0.95,64,64,64,64,2,64,64,1,4,8680,28102,890,252537,111091,140095,63107,604502
0.07,4.00,0.01,0.00,0.12,4.00,0.00,32,32,32,32,1,32,32,1,4,5960,11032,481,123273,55374,98001,31963,326084
0.07,4.00,0.01,0.00,0.12,4.00,0.10,32,32,32,32,1,32,32,1,4,5860,11721,480,123352,55278,98008,31954,326653
0.07,4.00,0.01,0.00,0.12,4.00,0.20,32,32,32,32,1,32,32,1,4,5920,11581,470,123272,55658,98308,32034,327243
0.07,4.00,0.01,0.00,0.12,4.00,0.30,32,32,32,32,1,32,32,1,4,5821,11662,450,123533,55424,98031,31823,326744
0.07,4.00,0.01,0.00,0.12,4.00,0.40,32,32,32,32,1,32,32,1,4,6060,11582,440,123593,55424,98402,31863,327364
0.07,4.00,0.01,0.00,0.12,4.00,0.50,32,32,32,32,1,32,32,1,4,6080,11711,471,123594,55395,98360,31823,327434
0.07,4.00,0.01,0.00,0.12,4.00,0.60,32,32,32,32,1,32,32,1,4,5891,11711,470,123622,55827,98039,31884,327444
0.07,4.00,0.01,0.00,0.12,4.00,0.70,32,32,32,32,1,32,32,1,4,5950,11692,480,123804,55154,98461,31873,327414
0.07,4.00,0.01,0.00,0.12,4.00,0.80,32,32,32,32,1,32,32,1,4,5921,10901,470,123623,55787,97770,31922,326394
0.07,4.00,0.01,0.00,0.12,4.00,0.85,32,32,32,32,1,32,32,1,4,5871,11521,480,123653,55657,98109,31913,327204
0.07,4.00,0.01,0.00,0.12,4.00,0.90,32,32,32,32,1,32,32,1,4,5901,11731,480,123322,56107,97629,38175,333345
0.07,4.00,0.01,0.00,0.12,4.00,0.95,32,32,32,32,1,32,32,1,4,5840,11681,490,123192,56048,97878,31824,326953
