LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
0.27,17.00,0.03,1.00,0.50,16.00,0.70,64,64,64,64,2,64,64,1,4,8390,28234,870,247564,110875,139300,63298,598531
0.27,17.00,0.03,1.00,0.50,16.00,0.80,64,64,64,64,2,64,64,1,4,8561,27842,910,247726,110438,141007,67917,604401
0.27,17.00,0.03,1.00,0.50,16.00,0.90,64,64,64,64,2,64,64,1,4,8331,28193,890,247126,111373,140042,63406,599361
0.07,4.00,0.01,0.00,0.12,4.00,0.00,32,32,32,32,1,32,32,1,4,5860,11021,450,123612,55527,100079,31944,328493
0.07,4.00,0.01,0.00,0.12,4.00,0.10,32,32,32,32,1,32,32,1,4,5850,11771,450,123632,55385,99731,31954,328773
0.07,4.00,0.01,0.00,0.12,4.00,0.20,32,32,32,32,1,32,32,1,4,5921,11711,450,124145,54914,99291,31961,328393
0.07,4.00,0.01,0.00,0.12,4.00,0.30,32,32,32,32,1,32,32,1,4,5893,11812,460,123263,56094,99522,31860,328904
0.07,4.00,0.01,0.00,0.12,4.00,0.40,32,32,32,32,1,32,32,1,4,5920,11611,470,123282,55458,100768,31934,329443
0.07,4.00,0.01,0.00,0.12,4.00,0.50,32,32,32,32,1,32,32,1,4,5900,11841,460,124032,54835,99831,32004,328903
0.07,4.00,0.01,0.00,0.12,4.00,0.60,32,32,32,32,1,32,32,1,4,6060,11741,470,123632,60617,100450,31924,334894
0.07,4.00,0.01,0.00,0.12,4.00,0.70,32,32,32,32,1,32,32,1,4,5950,11661,470,123372,56538,99328,31924,329243
0.07,4.00,0.01,0.00,0.12,4.00,0.80,32,32,32,32,1,32,32,1,4,6050,10961,470,123492,55705,98731,32104,327513
0.07,4.00,0.01,0.00,0.12,4.00,0.90,32,32,32,32,1,32,32,1,4,6082,11661,490,123833,55624,108243,31982,337915
