LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
0.98,64.00,0.98,32.00,0.98,32.00,0.10,1003,1003,1003,1003,8,8,8,1,4,368871,16411477,125512,11849955,5321699,21612849,68473085,124163448
0.53,34.00,0.56,18.00,0.50,16.00,0.10,512,512,512,512,9,8,8,1,4,70595,1472383,7703,2005289,900642,2714005,9479559,16650176
0.33,21.00,0.16,5.00,0.50,16.00,0.10,256,256,256,256,5,16,16,1,4,37113,375980,3871,1002474,449484,812156,1471935,4153013
0.27,17.00,0.05,1.00,0.50,16.00,0.10,128,128,128,128,3,32,32,1,4,22073,99669,1980,501544,224371,272510,297401,1419548
0.26,16.00,0.02,0.00,0.50,16.00,0.10,64,64,64,64,2,64,64,1,4,11252,27673,1090,251346,112631,103711,87939,595642
0.06,4.00,0.00,0.00,0.12,4.00,0.10,32,32,32,32,1,32,32,1,4,7410,11291,450,125883,57097,41763,32094,275988
