LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total,dataset_name
0.96,63.00,0.96,31.00,0.96,31.00,0.10,986,986,986,986,8,8,8,4,4,269186,27918564,79978,9653644,3223326,20298573,16600053,78043324
0.53,34.00,0.56,18.00,0.50,16.00,0.10,512,512,512,512,9,8,8,4,4,52747,2520031,2530,1656913,554578,2543596,2373407,9703802
0.33,21.00,0.16,5.00,0.50,16.00,0.10,256,256,256,256,5,16,16,4,4,29504,640947,1520,829688,276198,786202,367067,2931126
0.27,17.00,0.05,1.00,0.50,16.00,0.10,128,128,128,128,3,32,32,4,4,18962,169766,730,414283,138676,272398,74378,1089193
0.07,4.00,0.02,0.00,0.12,4.00,0.10,64,64,64,64,2,16,16,4,4,9951,52095,320,212603,69737,110632,22282,477620
0.02,1.00,0.00,0.00,0.03,1.00,0.10,32,32,32,32,1,8,8,4,4,6441,35523,170,103461,35033,49896,8361,238885
