LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
0.98,64.00,0.98,32.00,0.98,32.00,0.10,1003,1003,1003,1003,8,8,8,1,4,1985928,92931730,358060,67168008,30045967,110851404,78926149,382267246
0.53,34.00,0.56,18.00,0.50,16.00,0.10,512,512,512,512,9,8,8,1,4,540475,13196595,69346,18058203,8074668,18786052,12447376,71172715
0.33,21.00,0.16,5.00,0.50,16.00,0.10,256,256,256,256,5,16,16,1,4,154396,1856798,18884,5053532,2239502,3292676,2237550,14853338
