LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
0.08,5.00,0.03,1.00,0.12,4.00,0.90,64,64,64,64,2,16,0,4,4,5610,50145,220,231404,69337,107421,16212,480349
0.02,1.00,0.01,0.00,0.03,1.00,0.00,32,32,32,32,1,8,0,4,4,4511,33323,120,116292,34263,86699,8041,283249
0.02,1.00,0.01,0.00,0.03,1.00,0.10,32,32,32,32,1,8,0,4,4,4561,33293,130,116302,34593,86289,8061,283229
0.02,1.00,0.01,0.00,0.03,1.00,0.20,32,32,32,32,1,8,0,4,4,4370,33223,130,116272,34713,86239,8011,282958
0.02,1.00,0.01,0.00,0.03,1.00,0.30,32,32,32,32,1,8,0,4,4,4520,33364,130,115842,35084,86539,8170,283649
0.02,1.00,0.01,0.00,0.03,1.00,0.40,32,32,32,32,1,8,0,4,4,4381,33723,140,115902,35023,86479,8031,283679
0.02,1.00,0.01,0.00,0.03,1.00,0.50,32,32,32,32,1,8,0,4,4,4430,33834,130,116342,34724,86359,8060,283879
0.02,1.00,0.01,0.00,0.03,1.00,0.60,32,32,32,32,1,8,0,4,4,4391,33813,140,116262,33833,87489,8011,283939
0.02,1.00,0.01,0.00,0.03,1.00,0.70,32,32,32,32,1,8,0,4,4,4420,33784,140,116292,34284,87058,8111,284089
0.02,1.00,0.01,0.00,0.03,1.00,0.80,32,32,32,32,1,8,0,4,4,4511,33273,130,115932,34273,87219,8001,283339
0.02,1.00,0.01,0.00,0.03,1.00,0.90,32,32,32,32,1,8,0,4,4,4401,33253,130,115902,34973,86139,8071,282869
