LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
0.26,16.00,0.02,0.00,0.50,16.00,0.85,64,64,64,64,1,64,64,1,4,8501,28163,960,247465,110843,149374,63227,608533
0.26,16.00,0.02,0.00,0.50,16.00,0.90,64,64,64,64,1,64,64,1,4,8391,28183,970,248065,109942,142045,63126,600722
0.26,16.00,0.02,0.00,0.50,16.00,0.95,64,64,64,64,1,64,64,1,4,8421,28232,971,247445,110721,141415,63187,600392
0.07,4.00,0.01,0.00,0.12,4.00,0.00,32,32,32,32,1,32,32,1,4,6040,10972,490,123994,55565,97120,31953,326134
0.07,4.00,0.01,0.00,0.12,4.00,0.10,32,32,32,32,1,32,32,1,4,5890,11531,511,124133,55005,98460,31864,327394
0.07,4.00,0.01,0.00,0.12,4.00,0.20,32,32,32,32,1,32,32,1,4,5910,11591,510,124014,55025,97971,31983,327004
0.07,4.00,0.01,0.00,0.12,4.00,0.30,32,32,32,32,1,32,32,1,4,5960,11661,501,124453,55016,98010,31853,327454
0.07,4.00,0.01,0.00,0.12,4.00,0.40,32,32,32,32,1,32,32,1,4,5841,11691,490,124042,55026,98620,31864,327574
0.07,4.00,0.01,0.00,0.12,4.00,0.50,32,32,32,32,1,32,32,1,4,5901,11691,460,124782,54466,98190,31774,327264
0.07,4.00,0.01,0.00,0.12,4.00,0.60,32,32,32,32,1,32,32,1,4,6030,11702,490,125603,53317,98629,31893,327664
0.07,4.00,0.01,0.00,0.12,4.00,0.70,32,32,32,32,1,32,32,1,4,6060,11672,480,123633,56067,97499,31793,327204
0.07,4.00,0.01,0.00,0.12,4.00,0.80,32,32,32,32,1,32,32,1,4,5960,11001,491,124443,54574,98002,31923,326394
0.07,4.00,0.01,0.00,0.12,4.00,0.85,32,32,32,32,1,32,32,1,4,5950,11692,500,124823,54667,97359,31903,326894
0.07,4.00,0.01,0.00,0.12,4.00,0.90,32,32,32,32,1,32,32,1,4,6211,11631,510,125434,53934,98301,39774,335795
0.07,4.00,0.01,0.00,0.12,4.00,0.95,32,32,32,32,1,32,32,1,4,5880,11623,510,124002,54945,98401,31963,327324
