LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
0.75,49.00,0.50,16.00,1.00,32.00,0.00,1024,1024,1024,1024,5,8,4,4,4,296316,9990146,96778,10724035,6883039,39723281,4184663,71898258
0.50,32.00,0.50,16.00,0.50,16.00,0.00,512,512,512,512,5,8,8,4,4,52678,2493453,3550,1785231,1146979,4781857,698861,10962609
0.31,20.00,0.50,16.00,0.12,4.00,0.00,256,256,256,256,5,8,16,4,4,18201,626953,920,446248,286489,1068579,174357,2621747
0.27,17.00,0.50,16.00,0.03,1.00,0.00,128,128,128,128,5,8,32,4,4,8981,159866,240,111632,72636,257237,45085,655677
0.07,4.00,0.12,4.00,0.01,0.00,0.00,64,64,64,64,5,8,16,4,4,8741,48375,250,112052,71787,185179,22342,448726
